# Point-charge transverse RW dipolar wake, y-plane
# Source: existing freq_x/freq_y and Zx_C/Zy_C from IW2D model
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/C/m]"
#------------------------
1.924667580360	7.7008359753724e+15
1.927665504940	7.7583135168102e+15
1.930663429520	7.8222845955970e+15
1.933661354100	7.8923257403444e+15
1.936659278680	7.9680477699802e+15
1.939657203260	8.0491092548007e+15
1.942655127840	8.1352068477480e+15
1.945653052420	8.2260467566214e+15
1.948650977000	8.3213087993167e+15
1.951648901580	8.4206172721038e+15
1.954646826160	8.5235302172511e+15
1.957644750740	8.6295516266596e+15
1.960642675320	8.7381623643583e+15
1.963640599900	8.8488584751028e+15
1.966638524480	8.9611827756065e+15
1.969636449060	9.0747382402299e+15
1.972634373640	9.1891786783718e+15
1.975632298220	9.3041808775137e+15
1.978630222800	9.4194094389594e+15
1.981628147380	9.5344882778844e+15
1.984626071960	9.6489901622473e+15
1.987623996540	9.7624487337496e+15
1.990621921120	9.8743888454843e+15
1.993619845700	9.9843640536454e+15
1.996617770280	1.0091987378435e+16
1.999615694860	1.0196944027388e+16
2.002613619440	1.0298981653729e+16
2.005611544020	1.0397882267145e+16
2.008609468600	1.0493426861918e+16
2.011607393180	1.0585366534515e+16
2.014605317760	1.0673411311753e+16
2.017603242340	1.0757241091891e+16
2.020601166920	1.0836534629017e+16
2.023599091500	1.0911005602254e+16
2.026597016080	1.0980432127580e+16
2.029594940660	1.1044668600921e+16
2.032592865240	1.1103635523886e+16
2.035590789820	1.1157291364182e+16
2.038588714400	1.1205597330724e+16
2.041586638980	1.1248488598157e+16
2.044584563560	1.1285862996480e+16
2.047582488140	1.1317591464943e+16
2.050580412720	1.1343546230354e+16
2.053578337300	1.1363635894403e+16
2.056576261880	1.1377833983039e+16
2.059574186460	1.1386190015118e+16
2.062572111040	1.1388818817460e+16
2.065570035620	1.1385872092714e+16
2.068567960200	1.1377502972608e+16
2.071565884780	1.1363836901493e+16
2.074563809360	1.1344959710120e+16
2.077561733940	1.1320927121101e+16
2.080559658520	1.1291791713701e+16
2.083557583100	1.1257636705640e+16
2.086555507680	1.1218603324448e+16
2.089553432260	1.1174901015470e+16
2.092551356840	1.1126796309213e+16
2.095549281420	1.1074584326199e+16
2.098547206000	1.1018553515671e+16
2.101545130580	1.0958956783145e+16
2.104543055160	1.0895999694342e+16
2.107540979740	1.0829849903434e+16
