# Point-charge longitudinal RW wake function
# Source: existing freq_z, Zz_C from IW2D model
#"s / mm"	"W_parallel [V/C]"
#------------------------
0.695518502560	4.7696559478056e+17
0.698516427140	4.5161270922324e+17
0.701514351720	4.2512346940960e+17
0.704512276300	3.9761721027937e+17
0.707510200880	3.6922396558365e+17
0.710508125460	3.4007491665863e+17
0.713506050040	3.1029294980423e+17
0.716503974620	2.7998677136326e+17
0.719501899200	2.4925064907782e+17
0.722499823780	2.1816969338364e+17
0.725497748360	1.8682848865554e+17
0.728495672940	1.5531963131676e+17
0.731493597520	1.2374879847991e+17
0.734491522100	9.2234321087518e+16
0.737489446680	6.0901345417934e+16
0.740487371260	2.9872727908665e+16
0.743485295840	-7.3996271690149e+14
0.746483220420	-3.0842025588272e+16
0.749481145000	-6.0355801190800e+16
0.752479069580	-8.9215516236809e+16
0.755476994160	-1.1735889832849e+17
0.758474918740	-1.4471886492983e+17
0.761472843320	-1.7121853083601e+17
0.764470767900	-1.9677148459026e+17
0.767468692480	-2.2128725887386e+17
0.770466617060	-2.4467993876185e+17
0.773464541640	-2.6687666793651e+17
0.776462466220	-2.8782287045031e+17
0.779460390800	-3.0748227293250e+17
0.782458315380	-3.2583179794444e+17
