#Parameters = {mesh_cpw=10; sigma_z=3; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (sigma_z=3) [Magnitude]"
#---------------------------------------------
22.457857181083	182.72429766756
22.491987663121	181.94734127676
22.526118145159	181.26444955743
22.560248627197	180.68970589538
22.594379109235	180.23487082044
22.628509591273	179.90910829228
22.662640073311	179.71876833342
22.696770555349	179.66723664421
22.730901037388	179.75485894631
22.765031519426	179.97894415304
22.799162001464	180.33384639931
22.833292483502	180.81112188577
22.867422965540	181.39975281462
22.901553447578	182.08642776247
22.935683929616	182.85586588347
22.969814411654	183.69117145545
23.003944893693	184.57420542644
23.038075375731	185.48596163177
23.072205857769	186.40693700131
23.106336339807	187.31748710901
23.140466821845	188.19816058707
23.174597303883	189.03000803455
23.208727785921	189.79486294667
23.242858267959	190.47559378630
23.276988749998	191.05632757459
23.311119232036	191.52264629326
23.345249714074	191.86175799419
23.379380196112	192.06264484443
23.413510678150	192.11619044426
23.447641160188	192.01528868715
23.481771642226	191.75493622249
23.515902124264	191.33231026551
23.550032606302	190.74683309338
23.584163088341	190.00022408518
23.618293570379	189.09653960945
23.652424052417	188.04220043445
23.686554534455	186.84600562821
23.720685016493	185.51913112249
23.754815498531	184.07511023475
23.788945980569	182.52979248524
23.823076462607	180.90127603485
23.857206944646	179.20980805613
23.891337426684	177.47764641674
23.925467908722	175.72887533191
23.959598390760	173.98916730638
23.993728872798	172.28548396429
24.027859354836	170.64570952082
24.061989836874	169.09821294731
24.096120318912	167.67133854212
24.130250800950	166.39282972897
24.164381282989	165.28919733603
24.198511765027	164.38505092689
24.232642247065	163.70241917862
24.266772729103	163.26009173734
24.300903211141	163.07301916798
24.335033693179	163.15180837458
24.369164175217	163.50234742486
24.403294657255	164.12558597540
24.437425139294	165.01748619968
24.471555621332	166.16914576472
24.505686103370	167.56708093460
24.539816585408	169.19364626364
24.573947067446	171.02755910835
24.608077549484	173.04449312882
24.642208031522	175.21770504057
24.676338513560	177.51866241034
24.710468995599	179.91764614708
24.744599477637	182.38430830683
24.778729959675	184.88817283530
24.812860441713	187.39907313675
24.846990923751	189.88752543395
24.881121405789	192.32504061694
24.915251887827	194.68437972919
24.949382369865	196.93975959738
24.983512851903	199.06701562047
25.017643333942	201.04372863932
25.051773815980	202.84932232725
25.085904298018	204.46513684687
25.120034780056	205.87448373527
25.154165262094	207.06268619632
25.188295744132	208.01710824630
25.222426226170	208.72717550750
25.256556708208	209.18438988282
25.290687190247	209.38233987297
25.324817672285	209.31670790730
25.358948154323	208.98527573784
25.393078636361	208.38792867826
25.427209118399	207.52665923999
25.461339600437	206.40557050818
25.495470082475	205.03087939436
25.529600564513	203.41091968037
25.563731046552	201.55614450874
25.597861528590	199.47912765612
25.631992010628	197.19456252291
25.666122492666	194.71925725631
25.700252974704	192.07212376818
25.734383456742	189.27415758443
25.768513938780	186.34840444813
25.802644420818	183.31990838292
25.836774902856	180.21563452111
25.870905384895	177.06435846159
25.905035866933	173.89651235802
25.939166348971	170.74397653734
