# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
4.620000e+00 1.848374e+00 4.870761e+00
4.630000e+00 1.850522e+00 4.865759e+00
4.640000e+00 1.852560e+00 4.860681e+00
4.650000e+00 1.854483e+00 4.855533e+00
4.660000e+00 1.856290e+00 4.850318e+00
4.670000e+00 1.857978e+00 4.845040e+00
4.680000e+00 1.859544e+00 4.839704e+00
4.690000e+00 1.860986e+00 4.834312e+00
4.700000e+00 1.862302e+00 4.828871e+00
4.710000e+00 1.863489e+00 4.823383e+00
4.720000e+00 1.864546e+00 4.817854e+00
4.730000e+00 1.865471e+00 4.812288e+00
4.740000e+00 1.866263e+00 4.806689e+00
4.750000e+00 1.866919e+00 4.801062e+00
4.760000e+00 1.867438e+00 4.795413e+00
4.770000e+00 1.867820e+00 4.789744e+00
4.780000e+00 1.868064e+00 4.784062e+00
4.790000e+00 1.868168e+00 4.778371e+00
4.800000e+00 1.868131e+00 4.772676e+00
4.810000e+00 1.867954e+00 4.766982e+00
4.820000e+00 1.867636e+00 4.761293e+00
4.830000e+00 1.867176e+00 4.755614e+00
4.840000e+00 1.866576e+00 4.749951e+00
4.850000e+00 1.865834e+00 4.744308e+00
4.860000e+00 1.864951e+00 4.738690e+00
4.870000e+00 1.863927e+00 4.733102e+00
4.880000e+00 1.862764e+00 4.727549e+00
4.890000e+00 1.861462e+00 4.722035e+00
4.900000e+00 1.860022e+00 4.716567e+00
4.910000e+00 1.858445e+00 4.711147e+00
4.920000e+00 1.856732e+00 4.705782e+00
4.930000e+00 1.854885e+00 4.700476e+00
4.940000e+00 1.852906e+00 4.695234e+00
4.950000e+00 1.850796e+00 4.690060e+00
4.960000e+00 1.848556e+00 4.684958e+00
4.970000e+00 1.846191e+00 4.679935e+00
4.980000e+00 1.843700e+00 4.674993e+00
4.990000e+00 1.841088e+00 4.670137e+00
5.000000e+00 1.838356e+00 4.665373e+00
5.010000e+00 1.835507e+00 4.660703e+00
5.020000e+00 1.832545e+00 4.656132e+00
5.030000e+00 1.829471e+00 4.651665e+00
5.040000e+00 1.826290e+00 4.647305e+00
5.050000e+00 1.823005e+00 4.643056e+00
5.060000e+00 1.819618e+00 4.638921e+00
5.070000e+00 1.816134e+00 4.634906e+00
5.080000e+00 1.812557e+00 4.631012e+00
5.090000e+00 1.808889e+00 4.627244e+00
5.100000e+00 1.805136e+00 4.623605e+00
